a	13690_11991_000058	15.46	15.6
abadía	8677_10604_000143	9.5	10.34
abajo	12367_13208_000285	7.42	7.68
abandonada	5863_4006_000017	10.03	10.58
abandonadas	103_1946_000864	8.6	9.32
abandonado	12689_12700_000208	13.96	14.64
abandonados	5863_4006_000053	5.36	6.0
abandonan	8882_10470_001730	5.52	6.24
abandonando	5051_5079_000035	3.26	3.82
abandonar	13664_11991_000349	1.94	2.58
abandonas	7560_5079_000033	5.3	5.92
abandone	3946_12758_004469	6.74	7.2
abandono	12367_14286_000756	2.92	3.4
abandonos	8313_7613_000020	2.04	2.68
abandoné	10191_9310_000023	6.74	7.62
abandonó	6768_5079_000148	0.74	1.3
abanico	11048_9358_000087	1.88	2.46
abarcando	5047_4006_000037	2.08	2.62
abarcar	6768_5079_000210	5.64	6.3
abastecer	7393_6686_000093	12.44	13.04
abatanar	675_567_000144	9.42	10.1
abatido	12953_12700_000011	11.98	12.68
abatir	12692_11991_000024	12.64	12.98
abeja	10191_9358_000006	4.18	4.94
abejas	7560_5079_000068	7.74	8.1
abertura	1474_1378_000026	4.06	4.76
aberturas	8881_8550_001378	8.43	9.68
abeto	8882_10667_002053	2.62	3.08
abetos	8882_10667_001163	4.76	5.24
abierto	10889_10604_000000	15.6	16.1
abiertos	11064_10604_000020	8.94	9.78
abismados	6447_9310_000004	13.1	13.64
abismo	2305_1378_000218	13.06	13.48
abnegación	3136_2577_000437	12.06	12.84
abogado	103_1946_002303	5.8	6.28
abogados	103_1946_000605	8.68	9.3
abominables	5047_4006_000048	8.86	9.58
abominación	9972_13008_000147	10.4	11.1
abominando	9648_9358_000002	0.48	0.96
abordo	8313_7613_000035	11.6	12.12
abordó	8313_7613_000040	11.44	11.84
aborrecidos	9972_11159_000171	10.76	11.52
aborrecimiento	677_1378_000182	11.94	12.68
abra	441_567_000399	6.8	7.04
abracé	675_567_000339	6.4	6.82
abraham	1853_1795_000493	5.8	6.22
abrasada	3290_3105_001516	9.82	10.48
abrasadora	13690_14644_000084	11.52	12.08
abrasados	407_567_000553	13.36	13.86
abrasó	101_567_000258	2.24	2.78
abrazado	7393_6686_000941	2.68	3.26
abrazados	6447_4369_000054	10.98	11.6
abrazar	6447_4369_000090	1.06	1.48
abrazo	11410_10604_000072	11.12	11.64
abrazos	2675_1378_000277	11.8	12.28
abrazó	2675_1378_000038	9.68	10.14
abre	7433_5079_000519	9.52	9.78
abres	11410_10604_000005	13.68	14.2
abreviar	3946_7437_001459	1.24	1.74
abri	12953_12700_000020	11.06	11.32
abriendo	1447_2162_000034	16.26	16.74
abrieron	8881_8550_001035	4.38	4.78
abrigaba	10827_11991_000244	17.96	18.62
abrigado	13664_11991_000413	1.28	1.88
abrigar	13664_11991_000067	7.44	7.86
abrigo	103_1946_002148	10.32	10.74
abril	8060_9503_000119	2.74	3.06
abriremos	8882_10139_001885	12.82	13.54
abriste	1512_1378_000264	2.54	3.0
abrió	452_567_000181	1.22	1.48
abrumada	10246_12300_000450	5.4	6.0
abrumado	10982_10604_000003	9.3	9.82
abrí	6768_5079_000136	0.6	0.72
abría	8882_10825_000486	6.3	6.68
absoluta	3136_2577_000124	1.0	1.7
absolutamente	8688_9310_000034	5.45	6.3
absolutos	8313_7613_000045	13.82	14.526
absorbe	11048_11486_000236	6.24	7.08
absorbido	11064_10604_000002	11.8	12.54
absorta	10246_10857_001800	1.22	1.92
absorto	675_567_000319	3.3	4.0
absurdo	7560_5079_000047	2.92	3.454
abuela	6201_4369_000006	1.16	1.58
abuelo	5051_4006_000010	6.16	6.686
abuelos	5863_4006_000036	8.22	8.82
abundan	8688_9310_000147	13.36	13.9
abundancia	9972_11975_000054	12.64	13.2
abundante	5511_4369_000089	7.06	8.0
abundantemente	2675_1378_000023	16.43	17.18
abundantes	8882_11802_000385	9.92	10.9
aburre	5051_5079_000020	5.4	5.886
aburrido	12367_13378_000043	6.6	7.3
aburrimiento	6156_4006_000025	12.04	12.64
abusar	5047_4006_000017	10.9	11.4
abuso	11228_10604_000014	13.86	14.4
abusos	9648_9358_000010	15.32	16.12
acababa	8313_7613_000039	5.88	6.4
acabada	1512_1378_000252	11.86	12.42
acabados	2675_1378_000400	11.08	11.52
acabamiento	1474_1378_000160	12.88	13.7
acabamos	11694_11957_000000	9.9	10.5
acaban	5168_4369_000210	13.56	13.9
acabando	3290_3105_001630	0.9	1.48
acabar	6453_4006_000042	14.98	15.3
acabaron	4817_4006_000032	3.32	4.12
acabará	675_567_000081	7.1	7.56
acabarás	383_567_000127	3.69	4.74
acabas	13664_11991_000336	9.56	9.98
acabe	2262_2162_000038	14.94	15.38
acabo	13664_11991_000488	9.8	10.6
acabé	5168_4369_000527	9.0	9.28
acabó	5047_4006_000037	0.5	0.96
acabóse	452_567_000008	7.46	8.26
academia	5511_4369_000041	7.32	7.66
acaecido	8313_7613_000020	13.4	14.02
acalorado	8882_10825_000483	5.0	5.82
acariciando	13664_11991_000391	1.66	2.36
acariciar	9972_14147_000430	14.02	14.58
acaricio	7433_7405_000355	10.24	10.86
acarrear	13697_11991_000163	17.54	18.1
acaso	11048_9358_000201	8.44	9.08
acatamiento	8882_9503_000115	11.28	12.06
accede	7433_5079_000737	1.08	1.54
accesos	12367_13403_001050	8.74	9.3
accidente	8688_9310_000046	13.172	13.822
accidentes	6201_4369_000024	3.0	3.56
acciones	2285_2162_000533	15.58	16.24
acción	7433_5079_000237	4.68	5.02
acebuche	1853_2701_000183	8.52	9.14
acecho	6768_5079_000108	7.04	7.46
aceitoso	8313_7613_000037	3.08	3.71
acelerado	2305_1378_000118	6.24	6.76
acendrado	12692_11991_000032	14.44	14.86
acento	9063_9358_000037	12.62	13.16
acentos	383_567_000447	8.14	8.78
aceptando	13690_14558_000121	14.48	15.12
aceptar	13690_14558_000034	2.1	2.56
aceptas	3946_7437_002119	6.06	6.46
acepten	11040_9310_000041	6.64	7.14
acepté	8313_7613_000068	13.45	14.1
acequias	5922_4006_000038	6.7	7.22
acera	8882_9539_001238	2.08	2.54
acerada	2363_1378_000069	4.06	4.64
acerca	13697_11991_000114	10.94	11.28
acercado	11135_11957_000038	13.88	14.52
acercar	9972_14060_000146	6.48	7.02
acercaron	10206_9503_000611	1.36	1.94
acercarse	8881_8550_001418	4.44	5.08
acero	2262_2162_000031	10.26	10.74
acerqué	10246_12002_000238	13.76	14.14
acertada	12692_11991_000015	10.5	11.02
acertado	6201_4369_000095	5.5	6.1
acertar	6201_4369_000229	12.98	13.5
acertara	3946_4644_001114	4.44	4.96
acertáramos	101_567_000302	4.64	5.5
achacoso	103_1946_000864	12.68	13.24
achaque	101_567_000181	5.54	6.0
achaques	10827_11991_000141	13.48	14.16
aciago	7393_6686_001566	4.1	4.42
acicalado	3136_2577_000564	6.06	6.58
acierto	12341_12700_000408	1.86	2.3
aclamado	11048_11486_000081	6.3	6.82
acogida	3136_2577_000703	10.92	11.42
acogidas	11135_11957_000068	4.64	5.32
acogido	8688_8509_000082	15.77	16.52
acogió	5051_5079_000123	0.44	0.84
acogía	8304_7613_000170	16.28	16.82
acometer	452_567_000225	8.08	8.54
acometido	1512_1378_000180	9.68	10.38
acometió	5168_4369_000362	0.84	1.48
acomodado	13697_11991_000094	10.56	11.08
acomode	6201_4369_000223	8.46	8.92
acompaña	11410_10604_000065	9.72	10.24
acompañaba	5922_4006_000023	8.12	8.62
acompañaban	8881_8550_000294	6.66	7.58
acompañada	6768_5079_000103	5.54	6.26
acompañadas	5051_5079_000123	6.88	8.08
acompañado	2363_1378_000580	17.28	18.16
acompañamiento	5047_4006_000038	0.585	1.38
acompañando	13690_14558_000045	11.938	12.76
acompañar	10827_11991_000159	1.68	2.46
acompañaron	6453_4006_000049	13.22	13.82
acompañen	13664_11991_000248	8.2	8.86
acongojado	10256_10604_000055	6.48	7.28
